,Account,Date,Time,Vendor,Price
70,Dining Cash,2018-02-01,14:26:00,Chick-fil-A DH,8.94
71,Dining Cash,2018-01-31,20:27:00,Whole Foods,8.8
72,Dining Cash,2018-01-31,12:16:00,WEPA SEH LL1,0.16
73,Dining Cash,2018-01-31,12:16:00,WEPA SEH LL1,0.08
74,Dining Cash,2018-01-31,10:49:00,GW DELI,6.05
75,Dining Cash,2018-01-29,11:01:00,WEPA SEH 4th FLR,0.16
76,Dining Cash,2018-01-29,11:01:00,WEPA SEH 4th FLR,0.32
77,Dining Cash,2018-01-28,21:47:00,Panera Bread,5.48
78,Dining Cash,2018-01-28,13:18:00,Sol Mexican,9.63
79,Dining Cash,2018-01-28,02:32:00,Carvings,10.27
80,Dining Cash,2018-01-26,17:26:00,Chick-fil-A DH,12.78
81,Dining Cash,2018-01-26,09:46:00,GW DELI,6.0
82,Dining Cash,2018-01-25,14:16:00,Penn Grill & Cafe,15.35
83,Dining Cash,2018-01-25,09:46:00,WEPA SEH 4th FLR,0.08
84,Dining Cash,2018-01-25,09:40:00,WEPA SEH 4th FLR,0.4
85,Dining Cash,2018-01-24,12:00:00,WEPA SEH LL1,0.24
86,Dining Cash,2018-01-24,11:12:00,GW DELI,5.94
87,Dining Cash,2018-01-23,14:17:00,Chick-fil-A DH,8.39
88,Dining Cash,2018-01-21,11:48:00,Sol Mexican,11.83
89,Dining Cash,2018-01-20,18:57:00,Guthridge Hall Dryer B1,1.75
90,Dining Cash,2018-01-20,18:17:00,Guthridge Hall Washer A7,1.75
91,Dining Cash,2018-01-20,18:16:00,Guthridge Hall Washer A6,1.75
92,Dining Cash,2018-01-20,11:36:00,GW DELI,6.0
93,Dining Cash,2018-01-19,16:42:00,Chipotle 2000 Pen,11.33
94,Dining Cash,2018-01-17,11:38:00,GW DELI,6.0
95,Dining Cash,2018-01-16,17:50:00,Whole Foods,14.69
96,Dining Cash,2018-01-16,13:47:00,Subway GW,4.24
97,Dining Cash,2018-01-15,19:37:00,Wiseguy Pizza,8.78
98,Dining Cash,2018-01-15,13:21:00,Chick-fil-A DH,8.39
99,Dining Cash,2018-01-15,12:58:00,CVS #02847,4.09
100,Dining Cash,2018-01-06,14:37:00,PatronImport Location,1350.0
101,Dining Cash,2017-12-20,19:47:00,Whole Foods,9.93
102,Dining Cash,2017-12-20,17:14:00,Teashi,8.8
103,Dining Cash,2017-12-20,10:33:00,Chick-fil-A DH,8.94
104,Dining Cash,2017-12-19,10:01:00,GW DELI,6.0
105,Dining Cash,2017-12-18,21:36:00,CVS #02847,7.27
106,Dining Cash,2017-12-17,17:29:00,Chipotle 2000 Pen,9.75
107,Dining Cash,2017-12-16,18:18:00,Sol Mexican,11.83
108,Dining Cash,2017-12-16,14:39:00,WEPA Tmpkn 4Flr,0.56
109,Dining Cash,2017-12-15,13:36:00,WEPA Tmpkn 4Flr,1.04
110,Dining Cash,2017-12-15,10:56:00,GW DELI,6.0
111,Dining Cash,2017-12-14,19:19:00,Whole Foods,7.7
112,Dining Cash,2017-12-14,12:30:00,Chick-fil-A DH,8.39
113,Dining Cash,2017-12-13,20:22:00,WEPA Tmpkn 4Flr,0.96
114,Dining Cash,2017-12-13,13:00:00,GW DELI,6.0
115,Dining Cash,2017-12-12,20:28:00,CVS #02847,5.29
116,Dining Cash,2017-12-11,16:59:00,Chipotle 2000 Pen,8.0
117,Dining Cash,2017-12-10,17:12:00,Teashi,4.4
118,Dining Cash,2017-12-10,00:47:00,Carvings,8.53
119,Dining Cash,2017-12-09,18:26:00,Chipotle 2000 Pen,19.75
120,Dining Cash,2017-12-09,16:18:00,WEPA SEH 2nd FLR,0.64
121,Dining Cash,2017-12-08,13:35:00,Wiseguy Pizza,4.39
122,Dining Cash,2017-12-07,16:17:00,Guthridge Hall Dryer B1,1.75
123,Dining Cash,2017-12-07,15:43:00,Guthridge Hall Washer A7,1.75
124,Dining Cash,2017-12-07,15:42:00,Guthridge Hall Washer A5,1.75
125,Dining Cash,2017-12-07,15:42:00,Guthridge Hall Washer A6,1.75
126,Dining Cash,2017-12-07,12:11:00,WEPA SEH LL2,0.24
127,Dining Cash,2017-12-06,20:13:00,Wiseguy Pizza,8.78
128,Dining Cash,2017-12-06,13:56:00,GW DELI,6.0
129,Dining Cash,2017-12-04,13:50:00,GET Location 365,160.0
130,Dining Cash,2017-12-04,13:43:00,Sol Mexican,11.83
131,Dining Cash,2017-12-03,19:32:00,Whole Foods,3.3
132,Dining Cash,2017-12-03,15:47:00,Sol Mexican,11.83
133,Dining Cash,2017-12-02,12:31:00,Starbucks #8759,4.13
134,Dining Cash,2017-12-02,08:51:00,GW DELI,6.0
135,Dining Cash,2017-12-01,13:07:00,GW DELI,6.0
136,Dining Cash,2017-11-28,12:54:00,WEPA SEH LL2,0.56
137,Dining Cash,2017-11-27,15:34:00,Whole Foods,77.41
138,Dining Cash,2017-11-27,11:44:00,GW DELI,6.0
139,Dining Cash,2017-11-26,16:16:00,Whole Foods,7.7
140,Dining Cash,2017-11-21,17:00:00,Chick-fil-A DH,15.26
141,Dining Cash,2017-11-21,16:18:00,Guthridge Hall Dryer B8,1.75
142,Dining Cash,2017-11-21,15:15:00,Guthridge Hall Washer A1,1.75
143,Dining Cash,2017-11-21,15:15:00,Guthridge Hall Washer A2,1.75
144,Dining Cash,2017-11-21,12:11:00,WEPA SEH LL2,0.56
145,Dining Cash,2017-11-20,21:47:00,Chalins Restaurant,2.0
146,Dining Cash,2017-11-20,21:02:00,Chalins Restaurant,13.27
147,Dining Cash,2017-11-20,15:32:00,Whole Foods,7.7
148,Dining Cash,2017-11-20,12:44:00,WEPA SEH LL2,0.08
149,Dining Cash,2017-11-19,18:52:00,Whole Foods,3.0
150,Dining Cash,2017-11-19,18:46:00,Whole Foods,7.7
151,Dining Cash,2017-11-18,16:49:00,Chipotle 2000 Pen,10.75
152,Dining Cash,2017-11-17,23:52:00,CVS #02847,4.19
153,Dining Cash,2017-11-17,23:33:00,TGI Fridays #1757 GW,16.63
154,Dining Cash,2017-11-17,16:45:00,Whole Foods,11.57
155,Dining Cash,2017-11-17,11:04:00,GW DELI,6.0
156,Dining Cash,2017-11-16,18:38:00,WEPA 1957 1,1.12
157,Dining Cash,2017-11-15,18:44:00,Starbucks #8759,10.23
158,Dining Cash,2017-11-15,14:26:00,CVS #02847,3.99
159,Dining Cash,2017-11-14,13:30:00,WEPA SEH LL2,0.32
160,Dining Cash,2017-11-14,13:30:00,WEPA SEH LL2,0.08
161,Dining Cash,2017-11-14,13:30:00,WEPA SEH LL2,0.48
162,Dining Cash,2017-11-13,16:25:00,Chipotle 2000 Pen,9.0
163,Dining Cash,2017-11-13,09:58:00,Guthridge Hall Dryer B8,1.75
164,Dining Cash,2017-11-13,09:13:00,Guthridge Hall Washer A1,1.75
165,Dining Cash,2017-11-13,09:13:00,Guthridge Hall Washer A2,1.75
166,Dining Cash,2017-11-11,09:57:00,GW DELI,6.05
167,Dining Cash,2017-11-10,15:44:00,Chick-fil-A DH,12.52
168,Dining Cash,2017-11-09,12:01:00,GW DELI,6.0
169,Dining Cash,2017-11-08,18:09:00,WEPA SEH 2nd FLR,0.08
170,Dining Cash,2017-11-06,15:26:00,Chipotle 2000 Pen,10.75
171,Dining Cash,2017-11-06,10:31:00,WEPA SEH Gnd FLR,0.48
172,Dining Cash,2017-11-06,10:30:00,WEPA SEH Gnd FLR,0.08
173,Dining Cash,2017-11-03,12:59:00,GW DELI,6.0
174,Dining Cash,2017-11-01,14:35:00,Whole Foods,100.03
175,Dining Cash,2017-10-30,11:48:00,GW DELI,6.0
176,Dining Cash,2017-10-29,22:15:00,Guthridge Hall Dryer B8,1.75
177,Dining Cash,2017-10-29,21:39:00,Guthridge Hall Washer A5,1.75
178,Dining Cash,2017-10-29,21:39:00,Guthridge Hall Washer A7,1.75
179,Dining Cash,2017-10-29,14:27:00,WEPA Tmpkn 4Flr,0.24
180,Dining Cash,2017-10-29,02:18:00,Amsterdam Snack RDR,1.25
181,Dining Cash,2017-10-28,18:58:00,Chipotle 2000 Pen,10.75
182,Dining Cash,2017-10-27,11:09:00,GW DELI,6.0
183,Dining Cash,2017-10-25,19:10:00,WEPA SEH LL2,0.24
184,Dining Cash,2017-10-25,19:09:00,WEPA SEH LL2,0.16
185,Dining Cash,2017-10-25,19:09:00,WEPA SEH LL2,0.16
186,Dining Cash,2017-10-23,01:02:00,Amsterdam Snack RDR,1.25
187,Dining Cash,2017-10-22,17:50:00,Chipotle 2000 Pen,7.25
188,Dining Cash,2017-10-21,23:29:00,TGI Fridays #1757 GW,33.24
189,Dining Cash,2017-10-21,19:09:00,Chick-fil-A DH,12.78
190,Dining Cash,2017-10-20,19:35:00,Foggy Bottom Grocery,4.76
191,Dining Cash,2017-10-19,13:29:00,WEPA SEH LL2,0.32
192,Dining Cash,2017-10-19,13:29:00,WEPA SEH LL2,0.32
193,Dining Cash,2017-10-19,13:29:00,WEPA SEH LL2,0.16
194,Dining Cash,2017-10-18,10:46:00,GW DELI,6.05
195,Dining Cash,2017-10-16,11:53:00,Guthridge Hall Dryer B6,1.75
196,Dining Cash,2017-10-16,11:53:00,Guthridge Hall Dryer B8,1.75
197,Dining Cash,2017-10-16,11:19:00,Guthridge Hall Washer A3,1.75
198,Dining Cash,2017-10-16,11:18:00,Guthridge Hall Washer A1,1.75
199,Dining Cash,2017-10-16,11:18:00,Guthridge Hall Washer A2,1.75
